Generation,Max,Min,Average
1,21,-6,8.85
2,21,-4,8.70
3,21,-1,9.45
4,21,-3,8.95
5,21,-1,7.70
6,21,-4,8.45
7,21,-4,8.90
8,21,-2,8.75
9,21,-4,9.85
10,21,-12,7.05
11,21,-4,8.40
12,21,0,8.70
13,21,3,9.05
14,21,0,10.60
15,21,-4,9.20
16,21,-5,7.70
17,21,1,10.25
18,21,-11,9.35
19,21,2,9.75
20,21,-11,8.25
21,21,1,9.70
22,21,2,9.30
23,21,-1,10.35
24,21,3,11.10
25,21,2,9.75
26,21,-8,9.50
27,21,0,10.90
28,21,3,10.70
29,21,2,11.55
30,21,-2,10.55
31,21,-5,9.55
32,21,-2,10.35
33,21,-2,10.40
34,21,1,10.05
35,21,-4,9.20
36,21,-1,7.90
37,21,-2,9.50
38,21,-1,10.20
39,21,-4,8.50
40,21,-1,10.05
41,21,1,10.75
42,21,-1,9.75
43,21,-4,9.15
44,21,2,11.55
45,21,3,11.00
46,21,0,9.60
47,21,-6,9.45
48,21,-4,9.45
49,21,1,8.85
50,21,1,10.25
51,21,1,10.60
52,21,2,10.35
53,21,0,10.55
54,21,0,9.50
55,21,0,10.40
56,21,-4,10.15
57,21,-2,9.40
58,21,-1,9.60
59,21,4,10.55
60,21,-1,10.05
61,21,5,11.25
62,21,4,11.85
63,21,3,10.95
64,21,-2,9.75
65,21,3,10.65
66,21,0,10.80
67,21,0,9.30
68,21,-1,9.50
69,21,-4,8.85
70,21,-1,11.35
71,21,3,11.55
72,21,2,11.45
73,21,3,11.25
74,21,5,10.50
75,21,7,11.60
76,21,7,12.20
77,21,5,11.30
78,21,4,10.75
79,21,3,10.00
80,21,5,10.35
81,21,6,10.95
82,21,4,11.05
83,21,5,10.35
84,21,-2,11.10
85,21,1,11.30
86,21,1,11.05
87,21,4,11.10
88,21,6,12.40
89,21,4,11.20
90,21,4,11.80
91,21,1,11.00
92,21,5,11.15
93,21,2,11.55
94,21,5,12.05
95,21,2,12.00
96,21,4,11.60
97,21,6,11.75
98,21,0,10.85
99,21,4,10.75
100,21,3,10.75
101,21,-2,11.25
102,21,4,11.40
103,21,9,12.30
104,21,7,12.05
105,21,2,11.35
106,21,1,10.65
107,21,7,11.15
108,21,7,11.75
109,21,6,11.75
110,21,6,10.80
111,21,1,11.05
112,21,6,11.40
113,21,5,11.85
114,21,7,11.55
115,21,6,11.30
116,21,7,12.30
117,21,7,11.70
118,21,7,12.00
119,21,7,11.35
120,21,6,12.35
121,21,1,11.40
122,21,8,11.50
123,21,6,11.70
124,21,6,11.55
125,21,7,11.60
126,21,7,12.35
127,21,6,12.40
128,21,7,11.80
129,21,8,12.25
130,21,7,12.25
131,21,10,13.60
132,21,3,12.10
133,21,8,12.65
134,21,6,12.40
135,21,5,11.70
136,21,7,11.75
137,21,3,11.35
138,21,8,12.55
139,21,5,11.50
140,21,3,11.75
141,21,4,12.95
142,21,6,12.35
143,21,8,12.10
144,21,9,12.15
145,21,5,11.95
146,21,9,12.95
147,21,9,12.10
148,21,6,11.85
149,21,9,12.55
150,21,7,12.45
151,21,7,12.90
152,21,3,12.65
153,21,7,12.30
154,21,8,11.85
155,21,7,12.60
156,21,7,12.15
157,21,5,11.55
158,21,9,11.45
159,21,8,11.70
160,21,6,12.40
161,21,7,13.05
162,21,8,12.55
163,21,2,12.15
164,21,2,11.90
165,21,5,12.30
166,21,6,12.80
167,21,7,12.30
168,21,7,11.75
169,21,0,11.50
170,21,1,11.30
171,21,9,12.50
172,21,-1,11.65
173,21,7,12.05
174,21,6,11.80
175,21,5,10.65
176,21,6,11.25
177,21,7,11.80
178,21,9,12.30
179,21,6,12.35
180,21,5,11.10
181,21,3,11.35
182,21,3,11.10
183,21,7,12.15
184,21,8,13.00
185,21,8,11.95
186,21,8,12.45
187,21,2,12.35
188,21,8,12.55
189,21,3,11.25
190,21,-1,11.30
191,21,5,10.80
192,21,3,11.85
193,21,3,12.80
194,21,-2,11.75
195,21,5,12.10
196,21,7,11.60
197,21,6,11.85
198,21,7,12.00
199,21,8,13.30
200,21,7,12.50
201,21,8,12.70
202,21,8,11.95
203,21,8,11.65
204,21,7,12.10
205,21,7,11.85
206,21,6,13.10
207,21,7,12.90
208,21,8,13.05
209,21,7,12.10
210,21,6,11.60
211,21,8,12.05
212,21,7,11.50
213,21,6,12.10
214,21,7,11.75
215,21,9,11.80
216,21,9,12.80
217,21,8,12.60
218,21,8,11.95
219,21,8,11.90
220,21,7,11.75
221,21,7,12.90
222,21,7,11.20
223,21,6,11.35
224,21,6,11.60
225,21,7,12.35
226,21,6,11.90
227,21,9,11.90
228,21,7,11.95
229,22,9,12.55
230,22,7,11.65
231,22,5,12.00
232,22,7,12.00
233,22,8,11.70
234,22,8,12.20
235,22,6,11.95
236,22,7,12.45
237,22,8,11.65
238,22,7,11.90
239,22,7,12.00
240,22,9,12.00
241,22,8,12.05
242,22,7,12.00
243,22,6,11.40
244,22,8,12.30
245,22,8,12.15
246,22,9,12.50
247,22,8,12.70
248,22,7,11.80
249,22,8,12.30
250,22,6,11.75
251,22,8,12.00
252,22,9,12.50
253,22,8,11.60
254,22,8,12.10
255,22,9,12.35
256,22,7,12.25
257,22,9,12.45
258,22,10,12.65
259,22,8,12.50
260,22,7,13.15
261,22,7,12.15
262,22,10,12.90
263,22,8,12.05
264,22,10,12.40
265,22,7,11.70
266,22,7,12.35
267,22,8,12.00
268,22,9,12.20
269,22,8,12.45
270,22,6,12.90
271,22,7,12.35
272,22,6,11.50
273,22,6,12.00
274,22,7,12.30
275,22,9,12.85
276,22,9,13.65
277,22,9,13.70
278,22,9,13.05
279,22,9,12.95
280,22,8,12.95
281,22,10,13.20
282,22,10,12.30
283,22,6,12.00
284,22,6,13.10
285,22,7,12.05
286,22,9,12.80
287,22,9,12.55
288,22,9,13.25
289,22,8,12.90
290,22,8,12.75
291,22,8,13.55
292,22,9,13.20
293,22,7,12.40
294,22,8,12.85
295,22,7,12.90
296,22,8,12.20
297,22,9,12.40
298,22,8,12.50
299,22,9,13.10
300,22,9,12.90
301,22,9,12.95
302,22,9,12.80
303,22,9,12.80
304,22,8,13.00
305,22,8,12.85
306,22,9,13.10
307,22,8,12.65
308,22,7,12.55
309,22,7,11.70
310,22,8,12.05
311,22,6,11.85
312,22,8,12.10
313,22,8,12.20
314,22,6,12.50
315,22,9,12.50
316,22,9,12.80
317,22,8,12.15
318,22,6,11.75
319,22,7,11.75
320,22,7,12.20
321,22,9,12.70
322,22,9,13.15
323,22,9,12.40
324,22,7,12.30
325,22,9,12.40
326,22,8,12.80
327,22,8,12.90
328,22,8,12.95
329,22,8,12.90
330,22,9,13.00
331,22,9,12.60
332,22,8,12.80
333,22,9,13.05
334,22,6,13.15
335,22,10,13.20
336,22,8,12.30
337,22,9,12.90
338,22,9,13.70
339,22,9,14.05
340,22,9,13.50
341,22,9,12.15
342,22,9,12.70
343,22,7,12.00
344,22,10,12.85
345,22,10,13.65
346,22,8,12.85
347,22,6,12.35
348,22,6,12.60
349,22,7,12.75
350,22,10,13.20
351,22,8,12.75
352,22,8,12.50
